year,sec.burn
2018,1231
2017,596
2016,2614
2015,1239
2014,443
2013,2111
2012,727
2011,656
2010,774
2009,775
2008,1561
2007,729
2006,628
2005,1072
2004,702
2003,342
2002,744
2001,1583
2000,1005
1999,1432
1998,613
1997,450
1996,480
1995,351
1994,1315
1993,1410
1992,613
1991,720
1990,630
1989,1440
1988,2400
1987,1020
1986,840
1985,1440
1984,1320
1983,1460
1982,780
1981,850
1980,1020
1979,1140
1978,720
1977,1620
1976,660
1975,1320
1974,NA
1973,1560
1972,480
1971,300
1970,2400
1969,600
1968,300
1967,360
1966,960
1965,1200
1964,NA
1963,NA
1962,NA
1961,427
1960,NA
1959,480
1958,480
1957,NA
1956,NA
1955,NA
1954,NA
1953,480
1952,360
